,Category,URL,Description
202,Education,uiuc.edu,"University of Illinois at Urbana-Champaign - Information for students, alumni, and parents from Illinois’ flagship public university, a world leader in research, teaching, and public engagement."
203,Education,alaska.edu,Visit UAF's Fairbanks Campus--information about summer tours and attractions.
204,Education,uic.edu,University of Illinois at Chicago - UIC - UIC
205,Education,manchester.ac.uk,The University of Manchester
206,Education,linguee.com,"Linguee – Dictionary for German, French, Spanish, Portuguese, English"
207,Education,onthehub.com,"The latest software for back to school at great academic & student discounts! | OnTheHub - Download the latest software for back to school at amazing student discounts.  We offer student discount software and academic discount software on products by Microsoft, Adobe, Minitab, SPSS, JMP, Parall"
208,Education,oup.com,Oxford University Press - homepage - 'home' />
209,Education,thestudentroom.co.uk,"The Student Room - Where GCSE, A Level and university students share academic and social knowledge: from study help, to choosing a university, careers, and student life"
210,Education,pearsoned.com,Pearson | Always Learning
211,Education,eslcafe.com,Dave's ESL Cafe
212,Education,bab.la,Online dictionaries by bab.la - loving languages - Search translations in the dictionary and have fun learning languages with vocabulary lessons and many free games and quizzes.
213,Education,studymode.com,"Free Term Papers, Research Papers, Essays, Book Notes | StudyMode.com - StudyMode offers book notes, free essays, course notes, flashcards and other tools. Millions of students use us to help with their homework assignments."
214,Education,monash.edu.au,"Monash University - Monash University is a youthful organisation, enthusiastic, optimistic and accessible. We believe quality education and research can change the world for the better. We have locations in Australia, South Africa, Malaysia, Italy and India.  "
215,Education,tradepub.com,"Free Business, Computer, Engineering and Trade Magazines, White Papers, Reports, and eBooks - Browse through our extensive list of free Business, Computer, Engineering and Trade magazines, white papers, downloads and eBooks to find the titles that best match your skills; topics include management, "
216,Education,worddictionary.co.uk,English Dictionary - WordDictionary.co.uk - The most comprehensive English language dictionary with reverse look-up. A trusted resource for vocabulary building & grammar usage in English. Subscribe now.
217,Education,usg.edu,"University System of Georgia - The University System of Georgia oversees 35 colleges and universities: four research universities, two regional universities, 13 state universities, eight state colleges, and eight two-year colleges. These institutions enroll more than 283,000 students and employ ove"
218,Education,indiastudychannel.com,"India schools, colleges, education, entrance practice tests, aptitude questions   - IndiaStudyChannel.com offers comprehensive information about the schools, colleges and universities in India along with an opportunity for students to earn part time revenue for students during their regular educati"
219,Education,glosbe.com,"Online dictionary - Online dictionary. Almost all languages available, millions of translations"
220,Education,bharatstudent.com,"Indian Friends Online Community|Social Network India|Indian Student - India's Largest Free Social Community Networking Site for Indian friends & Indian student.Friends,Gangs,Film News,Gossips,Photo Galleries,Wallpapers of Actor&Actress,Information On Study Abroad,free admissions,Upload Videos @Camp"
0,Cars,mapquest.com,"MapQuest Maps - Driving Directions - Map - Use MapQuest for driving directions and maps.  See local traffic and road conditions, find nearby businesses and restaurants, plus explore street maps and satellite photos."
1,Cars,autotrader.com,"New Cars, Used Cars - Find Cars at AutoTrader.com - Find used cars and new cars for sale at AutoTrader.com.  With millions of cars, finding your next new car or used car and the car reviews and information you're looking for is easy at AutoTrader.com. :"
2,Cars,cars.com,"New Cars, Used Cars, Car Reviews | Cars.com - Use Cars.com to search 2.6 million new & used car listings or get a dealer quote. Our easy-to-use online tools put you a step ahead in your next vehicle purchase."
3,Cars,kbb.com,"Official Kelley Blue Book New Car and Used Car Prices and Values   - Let Kelley Blue Book help you find the right car today! Begin your car search at kbb.com, The Trusted Resource. Whats your car worth? Research car quotes, photos, videos, reviews, and more from the automotive industry experts. Blu"
4,Cars,ford.com,"Ford – New Cars, Trucks, SUVs, Hybrids & Crossovers | Ford Vehicles  - The Official Ford Site to research, learn and shop for all new Ford Vehicles. View photos, videos, specs, compare competitors, build and price, search inventory and more on Ford.com."
5,Cars,edmunds.com,"New Cars, Used Cars, Car Reviews and Pricing - Edmunds.com - Edmunds car buying guide lists new car prices, used car prices, car comparisons, car buying advice, car ratings, car values, auto leasing."
6,Cars,jalopnik.com,Jalopnik - Drive Free or Die - Car news and reviews for the auto enthusiast.
7,Cars,statefarm.com,"State Farm - Car Insurance Quotes - Save on Auto Insurance - State Farm offers more discounts to more drivers than any other insurance company. Get a free quote today and see how you can save on auto, home, life and more."
8,Cars,carfax.com,CARFAX® - Official Site - Vehicle History Reports on Used Cars for Sale - Show me the CARFAX! Get instant vehicle history reports on used cars for sale and avoid costly hidden problems. Don't get stuck with a lemon!
9,Cars,autoblog.com,"Autoblog - We Obsessively Cover the Auto Industry - Get up-to-the-minute automotive news along with reviews, podcasts, high-quality photography and commentary about automobiles and the auto industry."
10,Cars,carid.com,CARiD.com - Car Accessories & Parts
11,Cars,progressive.com,"Car Insurance: Auto Insurance & Insurance Quotes - Progressive -         Buy and compare car insurance at Progressive.com and save money. Progressive offers insurance quotes on auto insurance, motorcycle, boat, RV, home and more. Get online insurance quotes today!"
12,Cars,geico.com,"GEICO | Auto insurance - Saving people money on more than car insurance - GEICO, Government Employees Insurance Company, has been providing affordable auto insurance since 1936. You can trust GEICO to offer low car insurance rates."
13,Cars,honda.com,"Honda.com: Official Site of American Honda Motor Co., Inc. - Honda.com - the official site for Honda cars, motorcycles, personal watercraft, ATVs, engines, lawn mowers, generators, marine motors, and Acura cars."
14,Cars,toyota.com,"Toyota Official site | Toyota Cars, Trucks & SUVs - Official Toyota site. Find the most up-to-date information on all Toyota cars, trucks, SUVs, hybrids & accessories."
15,Cars,chevrolet.com,"2013 Chevy Cars, Trucks, SUVs, Crossovers and Vans | Chevrolet - The Official Chevrolet site for all new 2012 and 2013 Chevy cars, trucks, crossovers and SUVs. Discover our range of award winning and fuel efficient vehicles."
16,Cars,uhaul.com,"U-Haul: Your moving and storage resource   - U-Haul is the choice for truck, trailer, cargo van rentals and U-Box storage & moving pods; most offer self-storage, boxes, moving supplies, hitches & propane"
17,Cars,allstate.com,"Auto Insurance Quotes - Car Insurance | Allstate Online Quote   - Get auto insurance quotes at Allstate.com. You're In Good Hands With Allstate. Allstate also offers insurance for your home, motorcycle, RV, as well as financial products such as permanent and term life insurance."
18,Cars,tirerack.com,"Tire Rack - Your performance experts for tires and wheels - Find tires, wheels and more at Tire Rack: large inventory of discount tires and wheels, plus tire reviews and ratings, custom wheels, brakes, chrome wheels, suv tires, car wheels and more."
19,Cars,summitracing.com,"Summit Racing - Performance Car and Truck Parts, Accessories and More!"
20,Cars,netcarshow.com,Cars - All Makes. All Models. - NetCarShow.com - The latest car news as well as a look at the automotive past with the best car pictures and wallpapers.
21,Cars,topgear.com,"Top Gear: cars, driving, supercars and the TV show - BBC Top Gear - BBC Top Gear - The official Top Gear site featuring cars, driving, Jeremy Clarkson, Richard Hammond, James May and the Stig. Plus car reviews,  videos, and supercar and show news."
22,Cars,carmax.com,"CarMax - Browse used cars and new cars online   - Search new and used cars, research models, and compare cars, all online at carmax.com."
23,Cars,advanceautoparts.com,"Advance Auto Parts: Car, Engine, Batteries, Brakes, Replacement, Performance & Accessories - Advance Auto Parts is your source for quality auto parts, advice and accessories. View car care tips, shop online for home delivery or pick up in one of our 3400 convenient store locations."
24,Cars,cargurus.com,"Used Cars, New Cars, Reviews, Photos and Opinions - CarGurus - Unbiased car reviews and over 750,000 opinions and photos from real people. Use CarGurus to find the best used car deals."
25,Cars,autopartswarehouse.com,"Auto Parts Warehouse | Car Parts & Accessories, Truck Parts, Discount Auto Body Parts Online - Auto Parts Warehouse offers Replacement Auto Parts, Performance Parts, Car Parts and Auto Accessories at wholesale prices."
26,Cars,crutchfield.com,"Crutchfield: Car Stereo, Speakers, Home Theater, LCD TV, Digital Cameras   - Free Shipping on most orders. Call 1-800-319-8943 for custom-tailored advice about audio/video electronics for your Car and Home."
27,Cars,bmwusa.com,"BMW of North America, LLC   - The official BMW of North America Web site. Learn about all BMW Series and models and find out where to find the closest BMW center."
28,Cars,caranddriver.com,Car Reviews - 2013 Car Reviews and 2014 New Cars at Car and Driver - Research 2013 and 2014 cars on Car and Driver. Our new car reviews and car buying resources help you make informed decisions. Car and Driver car reviews are designed to help you to make a smart purchase.
29,Cars,nissanusa.com,"Nissan Cars, Trucks, Crossovers, & SUVs | Nissan USA"
30,Cars,autozone.com,"AutoZone | Auto Parts & Accessories | Repair Guides & More - AutoZone is the leading auto parts retailer. You'll always find the best car parts, great customer service and the right prices at AutoZone."
31,Cars,motortrend.com,"New Cars, Car Reviews & Prices, Used Cars for Sale, & Auto Shows at Motor Trend Magazine   - Official Motor Trend magazine web site features used cars, road tests, new cars, concept cars, auto shows, and much more car buying information and help."
32,Cars,jcwhitney.com,"JC Whitney Auto Parts & Auto Accessories - Car, Truck, Jeep, Motorcycle, VW, RV & ATV - Aftermarket Parts & Accessories - For over 95 years, JC Whitney Auto Parts & Accessories has been America's trusted partner. Unbeatable selection and a 100% Satisfaction Guarantee Promise."
33,Cars,nadaguides.com,"Car Price, Used Car Value, Book Value | NADAguides | NADA Price Value, NADA Book Value, Specs, NADA Trade In Value & Vehicle Pricing | NADA Book Price & Car Cost Guides | NADA Car Value, Car Book Appraisal Value, Owner Costs, NADA Auto Value Appraisals & NADA Vehicle Resale Value & Car Book Apprais"
34,Cars,autosport.com,"Autosport.com - the authority on Formula One, F1, MotoGP, WRC, IndyCar, GP2, F2, Le Mans, NASCAR and more"
35,Cars,bose.com,Bose Worldwide - Contacts
36,Cars,yamaha.com,Yamaha - Global
37,Cars,vw.com,"Volkswagen of America - The official site for VW cars, including vehicle information, pricing, and model comparisons. Find your closest VW dealers, schedule a test drive, even get a quote."
38,Cars,hertz.com,"Hertz Rent-a-Car - Rental Car Discounts, Coupons and Great Rates -  Reserve a rental car from Hertz car rental and get a great rate online. Find out how easy it is to book a hybrid, convertible or luxury car today."
39,Cars,autoanything.com,"AutoAnything | Auto Accessories & Aftermarket Parts | Truck Accessories & Car Accessories - Floor Mats, Tonneau Covers & Car Covers - America's leading site for discount prices on Auto Accessories & Parts. Free Shipping, 1-Year Price Guarantee, 105000+ Reviews. Click or Call 800"
40,Cars,harley-davidson.com,"Harley-Davidson Canada | Harley-Davidson Canada - The official site of the Harley-Davidson Motor Company. View Harley-Davidson motorcycles, locate a motorcycle dealer, & browse motorcycle parts and apparel."
41,Cars,hyundaiusa.com,"New Cars, Sedans, SUVs, Compacts, Luxury | Hyundai  - Official site for Hyundai Motor America. Explore our new models, features, offers, MPG, and find dealer information all at Hyundaiusa.com."
42,Cars,topspeed.com,"Car News and reviews, videos, wallpapers, pictures, free games and more.  - Top Speed -  Car News and reviews, videos, wallpapers, pictures, free games and more. - Top Speed"
43,Cars,enterprise.com,"Enterprise Rent-A-Car - Rental Cars at Low Rates - Reserve a car rental from Enterprise Rent-A-Car at low rates. Choose from more than 6,000 rental car locations at major airports and neighborhood locations. Rental car classes include economy cars, luxury car rental, cargo vans, pickup trucks and m"
44,Cars,dmv.org,"DMV.org: The DMV Made Simple - DMV.org makes understanding the Department of Motor Vehicles simple. Get quick access to Forms, practice tests, rules & regulations, and connect with tens of thousands of drivers in our community. Save time, money, and possibly a trip to the DMV!"
45,Cars,oreillyauto.com,"Home Page | O'Reilly Auto Parts - Better parts... better prices, everyday on auto parts and accessories. Plus find a store, check out our current ad, get information on racing events, contact us, and more."
46,Cars,dot.gov,Department of Transportation |
47,Cars,mbusa.com,"Mercedes-Benz Luxury Cars: Explore, Build & Compare Sedans, SUVs, Coupes, Wagons - Mercedes-Benz combines luxury with performance across the full line of sedans, SUVs, coupes, roadsters, convertibles & more. View BlueTEC clean diesel, AWD & hybrid cars or build your own, today."
48,Cars,copart.com,"Copart USA - The Source for Online Car Auctions - Home Page - Copart auctions used and salvage vehicles to auto parts dismantlers, rebuilders, used car dealers, wrecking yards, and the public for insurance and rental car companies, manufacturers, and the public."
49,Cars,worldcarfans.com,Worldcarfans
50,Cars,discounttire.com,"Discount Tire, Custom Wheels, Truck & Car Rims | Discount Tire - Discount Tire stores have the tires and wheels/rims you'll need for all the terrain you'll encounter. From tires for the highway to tires for rugged terrain, Discount Tires has what you're looking for. Also known as America's Tire"
51,Cars,pistonheads.com,"PistonHeads.com :: Speed Matters - Motoring Magazine,Cars for Sale,Forums"
52,Cars,autocar.co.uk,"Autocar | First for car news and car reviews - Every new car tested. The UK's definitive verdicts from our expert road test team on performance, styling, MPG, handling, new car prices and more. Plus the latest car news and videos."
53,Cars,libertymutual.com,"Auto Insurance Quotes, Car Insurance Quotes, and Home Insurance | Liberty Mutual 			 - Liberty Mutual offers auto insurance, home insurance, and life insurance. Learn how you can get your free quote today at LibertyMutual.com."
54,Cars,carsforsale.com,"Cars For Sale, Used Cars For Sale, New Cars For Sale, Carsforsale.com!   - Cars For Sale, Buy Used Cars For Sale. Sell Used Cars For Sale. Free Used Car Classifieds. Sell Car Free. Buy or Sell used cars with Cars For Sale!"
55,Cars,ovi.com,HERE - City and Country Maps - Driving Directions - Satellite Views - Routes - HERE - Explore cities in 3D and country maps in satellite view. Get full driving directions and save favourite places to find them again easily.
56,Cars,vwvortex.com,"VWVortex - The Volkswagen Enthusiast Website - VWvortex is the worlds largest Volkswagen enthusiast website. With all the latest news, reviews, first drives, photo galleries and our community discussions forums."
57,Cars,thecarconnection.com,"New Cars, Car Reviews, Car Shows, Car Photos - The Car Connection - Get the inside scoop on new cars: car reviews, car photos, test drive results, technical specs and more. Comprehensive car reviews from auto experts. Get expert opinions from new car test drives. Find cool cars and get inside exclu"
58,Cars,budget.com,"Car Rentals from Budget    - Car rentals including sedans, trucks, SUV's and more from Budget."
59,Cars,rentalcars.com,"Rental Cars and Car Rentals from Rental Cars.com - Cheap car hire with no cancellation and no amendment fees in the UK, USA, Europe and in over 6000 pickup locations worldwide with free phone support"
60,Cars,tvcmatrix.com,TVC
0,Science,nasa.gov,"NASA -  Home  - NASA.gov brings you images, videos and interactive features from the unique perspective of America’s space agency.  Get the latest updates on NASA missions, subscribe to blogs, RSS feeds and podcasts, watch NASA TV live, or simply read about our mission to pioneer the future i"
1,Science,redbullstratos.com,Home | Red Bull Stratos - Red Bull Stratos - Mission to the Edge of Space and Supersonic freefall.
2,Science,wolframalpha.com,"Wolfram|Alpha: Computational Knowledge Engine - Wolfram|Alpha is more than a search engine. It gives you access to the world's facts and data and calculates answers across a range of topics, including science, nutrition, history, geography, engineering, mathematics, linguistics, sports, finance, mu"
3,Science,sciencedaily.com,"Science Daily: News & Articles in Science, Health, Environment & Technology - Breaking science news and articles on global warming, extrasolar planets, stem cells, bird flu, autism, nanotechnology, dinosaurs, evolution -- the latest discoveries in astronomy, anthropology, biology, chemistry"
4,Science,usgs.gov,"Welcome to the USGS - U.S. Geological Survey - Federal source for science about the Earth, its natural and living resources, natural hazards, and the environment."
5,Science,space.com,"Space and NASA News – Universe and Deep Space Information | Space.com  - Get the latest outer space and science news, NASA information, watch space flight videos at Space.com. View exclusive solar system Images, latest astronomy news and more."
6,Science,easybib.com,"EasyBib: Free Bibliography Maker - MLA, APA, Chicago citation styles - Automatic works cited and bibliography formatting for MLA, APA and Chicago/Turabian citation styles. Now supports 7th edition of MLA."
7,Science,phys.org,"Phys.org - Science News, Technology, Physics, Nanotechnology, Space Science, Earth Science, Medicine - Phys.org internet news portal provides the latest news on science including: Physics, Space Science, Earth Science, Health and Medicine "
8,Science,livescience.com,"Science News – Science Articles and Current Events | LiveScience  - Groundbreaking developments in science, space, technology, health, the environment, our culture and history"
9,Science,nature.com,"Nature Publishing Group : science journals, jobs, and information - Nature - the world's best science and medicine on your desktop"
10,Science,scientificamerican.com,"Science News, Articles and Information | Scientific American - Latest news and features on science issues that matter including earth, environment, and space. Get your science news from the most trusted source!"
11,Science,academia.edu,Academia.edu - Share research - Academia.edu helps academics follow the latest research.
12,Science,nobelprize.org,"Nobelprize.org - Nobelprize.org, Official web site of the Nobel Prize"
13,Science,jstor.org,JSTOR
14,Science,newscientist.com,Science news and science jobs from New Scientist - New Scientist - Science news and science articles from New Scientist
15,Science,popsci.com,"Popular Science | New Technology, Science News, The Future Now - Your ultimate online portal to the future. Reporting on what's new and what's next in technology, science, gadgets, space, green tech and more."
16,Science,sciencemag.org,Science                 
17,Science,arxiv.org,ArXiv.org e-Print archive
18,Science,wolfram.com,"Wolfram Research: Mathematica, Technical and Scientific Software - Wolfram Research, makers of Mathematica, the only fully integrated technical computing software"
19,Science,physicsforums.com,"Physics Help and Math Help - Physics Forums - Physics Forums is for scientists to discuss serious issues and topics regarding physics.  Physics help is offered to students, along with career and academic counseling."
20,Science,acm.org,"Welcome         —         Association for Computing Machinery      - ACM, the world’s largest educational and scientific computing society, delivers resources that advance computing as a science and a profession. ACM provides the computing field's premier Digital Library and serves its memb"
21,Science,discovermagazine.com,"Discover Magazine: The latest in science and technology news, blogs and articles  "
22,Science,geeksaresexy.net,"Geeks are Sexy Technology News | tech, science, news and social issues for geeks"
23,Science,researchgate.net,"ResearchGate - ResearchGate is a network dedicated to science and research. Connect, collaborate and discover scientific publications, jobs and conferences. All for free."
24,Science,ieee.org,IEEE - The world's largest professional association for the advancement of technology - IEEE.org serves technical professionals and students who are looking to both foster working relationships and gain access to the latest technical research and knowledge.
25,Science,redorbit.com,"RedOrbit - Science, Space, Technology, Health News and Information"
26,Science,mathworks.com,"MathWorks - MATLAB and Simulink for Technical Computing - MathWorks is the world’s leading developer of technical computing software for engineers and scientists in industry, government, and education"
27,Science,ssrn.com,Social Science Research Network (SSRN) Home Page - Leading Social Science Research Delivered To Your DeskTop Daily.  Social Science Research Network (SSRN) is devoted to the rapid worldwide dissemination of social science research and is composed of a number of specialized research networks in each
28,Science,citeulike.org,CiteULike: Everyone's library  - citeulike
29,Science,bibsonomy.org,"BibSonomy :: home - Webapplication of the Knowledge and Data Engineering Group, University of Kassel, Germany"
30,Science,acs.org,American Chemical Society - The world's largest scientific society.
0,Technology,apple.com,"Apple - Apple designs and creates iPod and iTunes, Mac laptop and desktop computers, the OS X operating system, and the revolutionary iPhone and iPad."
1,Technology,cnet.com,"Product reviews and prices, software downloads, and tech news - CNET"
2,Technology,gizmodo.com,"Gizmodo, the Gadget Guide - Gizmodo is the go-to authority for gadget news and digital culture."
3,Technology,wired.com,"Wired.com  - Get in-depth coverage of current and future trends in technology, and how they are shaping business, entertainment, communications, science, politics, and culture at Wired.com."
4,Technology,lifehacker.com,"Lifehacker, tips and downloads for getting things done - Lifehacker curates tips, tricks, and technology for living better in the digital age."
5,Technology,mashable.com,Mashable
6,Technology,engadget.com,Engadget - “Engadget is a web magazine with obsessive daily coverage of everything new in gadgets and consumer electronics”/>
7,Technology,tigerdirect.com,"TigerDirect.com - Electronics, Tablets, Phones, Office Supplies & Video Games - The Best Deals on Electronics, Tablets, Phones, Office Supplies, Video Games and more at TigerDirect.com"
8,Technology,pcmag.com,"Technology Product Reviews, News, Prices & Downloads | PCMag.com | PC Magazine - PC Magazine is your complete guide to PC computers, peripherals and upgrades. We test and review computer- and Internet-related products and services, report technology news and trends, and provide shopping advice and "
9,Technology,macrumors.com,"Mac Rumors: Apple Mac iOS Rumors and News You Care About - Apple, Mac, iOS News and Rumors"
10,Technology,io9.com,"Io9. We come from the future. - io9 is entertainment, science, and futuristic culture for people who want to escape the everyday."
11,Technology,zdnet.com,"ZDNet | Technology News, Analysis, Comments and Product Reviews for IT Professionals - ZDNet's breaking news, analysis, and research keeps business technology professionals in touch with the latest IT trends, issues and events."
12,Technology,makeuseof.com,"Cool Websites, Software and Internet Tips - MakeUseOf is a booming online magazine featuring cool websites, cool software and internet tips."
13,Technology,arstechnica.com,"Ars Technica - Serving the Technologist for more than a decade. IT news, reviews, and analysis."
14,Technology,boingboing.net,Boing Boing
15,Technology,xda-developers.com,"Android, Windows Phone, and Windows Mobile Development News, Information, and Howtos - XDA Developers  "
16,Technology,tomshardware.com,"Tom's Hardware: Hardware News, Tests and Reviews -  Tom's Hardware is the Internet's premiere resource for hardware news and reviews"
17,Technology,samsung.com,"Samsung US | TVs – Tablets – Smartphones – Cameras – Laptops – Refrigerators - Imagine what Samsung can do for you! You'll find product and support information for our TVs, mobile phones, video & audios, computers and related products, various home appliance products, core components that"
18,Technology,theverge.com,"The Verge - The Verge was founded in 2011 in partnership with Vox Media, and covers the intersection of technology, science, art, and culture. Its mission is to offer in-depth reporting and long-form feature stories, breaking news coverage, product information, and community content in a unified an"
19,Technology,slashdot.org,"Slashdot: News for nerds, stuff that matters"
20,Technology,thenextweb.com,"The Next Web - International technology news, business & culture - One of the most influential blogs in the world. Covering technology, its business and culture."
21,Technology,androidcentral.com,"Android Central | Android Forums, News, Reviews, Help and Android Wallpapers"
22,Technology,pcworld.com,"PCWorld - News, tips and reviews from the experts on PCs, Windows, and more - Covering everything from ultrabooks to servers, from Windows 8 to virtualization, PCWorld delivers the information and expert advice you need to get the job done.   "
23,Technology,macworld.com,"Macworld - News, tips, and reviews from the Apple experts - Whether you're a Mac die-hard or an iPad newbie we give you the scoop on what's new, what's best and how to make the most out of the products you love."
24,Technology,digitaltrends.com,"Technology News, Product Reviews and App Reviews | Digital Trends - Digital Trends is your premier source for technology news and unbiased expert product reviews of TVs, laptops, cell phones and more."
25,Technology,tuaw.com,"TUAW - The Unofficial Apple Weblog - TUAW is your source for Apple news, tips, reviews and how-tos."
26,Technology,android.com,Android     
27,Technology,anandtech.com,AnandTech 
28,Technology,cisco.com,"Cisco Systems, Inc - Cisco (NASDAQ: CSCO) is the worldwide leader in networking that transforms how people connect, communicate and collaborate."
29,Technology,zagg.com,"IPad Cases, Keyboards, Screen Protectors, & iPhone Skins | ZAGG  - ZAGG: the leader in mobile accessories. Screen protectors (invisibleSHIELD), cases, skins, keyboards, power, etc. for iPad, iPhone, and thousands more!"
30,Technology,ifixit.com,"IFixit: The free repair manual - Repair your electronics yourself. iFixit is the repair manual you can edit. We sell tools, parts and upgrades for Apple Mac, iPod, iPhone, iPad, and MacBook as well as game consoles."
31,Technology,ycombinator.com,Y Combinator
32,Technology,gigaom.com,"GigaOM	 - GigaOM delivers breaking news and in-depth analysis on the business of technology. Our reporters investigate trends, examine emerging business models, and profile startups."
33,Technology,sony.com,"Sony.com - Geo-Filter CA - View the wide world of Sony: electronics products, the people, the ideas, the entertainment--and everything else that moves beyond the ordinary. Anything you can imagine, you can make real"
34,Technology,crunchbase.com,"CrunchBase, The Free Tech Company Database - CrunchBase is the free database of technology companies, people, and investors that anyone can edit."
35,Technology,techrepublic.com,"TechRepublic - A Resource for IT Professionals - TechRepublic helps IT decision-makers identify technologies and strategies to empower workers and streamline business processes. The site delivers a unique blend of original content by IT professionals, peer-to-peer advice from the largest community "
36,Technology,gsmarena.com,"GSMArena.com - GSM phone reviews, news, opinions, votes, manuals and more... - GSMArena.com - The ultimate resource for GSM handset information"
37,Technology,techsupportalert.com,Gizmo's Freeware | Find the best freeware fast - The best freeware independently reviewed and rated by the web's most popular freeware review site
38,Technology,venturebeat.com,"VentureBeat | Tech. People. Money. - News About Tech, Money and Innovation"
39,Technology,appleinsider.com,AppleInsider | News and rumors since 1997 - appleinsider.com rumors and news on everything apple since 1997
40,Technology,allthingsd.com,"AllThingsD - AllThingsD.com is a Web site devoted to news, analysis and opinion on technology, the Internet, and media."
41,Technology,phonegap.com,PhoneGap | Home
42,Technology,androidforums.com,Android Forums - Android Forums is a community of Google Android enthusiasts who love their Android Enabled Phones!
43,Technology,makezine.com,"MAKE | MAKE magazine - MAKE - DIY projects, how-tos, and inspiration from geeks, makers, and hackers"
44,Technology,raspberrypi.org,Raspberry Pi | An ARM GNU/Linux box for $25. Take a byte!
45,Technology,theregister.co.uk,The Register: Sci/Tech News for the World
46,Technology,readwriteweb.com,"ReadWrite – Web Apps, Web Technology Trends, Social Networking and Social Media - ReadWrite is a popular weblog that provides Web Technology news, reviews and analysis, covering web apps, web technology trends, social networking and social media."
47,Technology,portableapps.com,"PortableApps.com - Portable software for USB, portable and cloud drives"
48,Technology,technologyreview.com,MIT Technology Review
49,Technology,cultofmac.com,Cult of Mac | Breaking news for Apple fans
50,Technology,appshopper.com,"IPad Apps, iPhone Apps, Deals and Discovery at App Shopper -  Popular Recent Changes for iOS - Mac Apps, Mac App Store, iPad, iPhone and iPod touch app store listings, news, and price drops"
51,Technology,techradar.com,"TechRadar | Technology News And Reviews - The latest technology news and reviews, covering computing, home entertainment systems, gadgets and more. TechRadar"
52,Technology,9to5mac.com,9to5Mac
53,Technology,neowin.net,"Neowin - Where unprofessional journalism looks better - News, Reviews & Betas which includes large community peer support"
54,Technology,squareup.com,"Accept credit cards with your iPhone, Android or iPad – Square - Accept credit card payments anywhere with your iPhone, Android or iPad. Download the free Square app to get started."
55,Technology,computerworld.com,"Computerworld - IT news, features, blogs, tech reviews, career advice - Computerworld covers a wide range of technology topics, including software, security, operating systems, mobile, storage, servers and data centers, and technology companies such as Microsoft, Google and Apple."
56,Technology,geek.com,Geek.com
57,Technology,otterbox.com,OtterBox Cases | The # 1 selling case for smartphones | OtterBox.com - See why OtterBox is the #1 selling case for smartphones. Get the kind of protection that inspires confidence with OtterBox tablet and smartphone cases.
58,Technology,techmeme.com,Techmeme - The essential tech news of the moment. Technology's news site of record. Not for dummies.
59,Technology,hackaday.com,Hack a Day — Fresh hacks every day - Fresh hacks every day
60,Technology,geeks.com,"Computer parts, Laptop computers, Desktop computers, Computer Hardware - Geeks.com - The Best Deals Online; Save on Computer Parts, Computer Hardware, Laptops, Tablets, Desktop Computers and More - Fast Shipping, Excellent Customer Service.."
61,Technology,webpronews.com,"WebProNews - Breaking News in Tech, Search, Social, & Business"
62,Technology,retrevo.com,"Discover, Evaluate, and Shop with the Gadget Experts at Retrevo"
63,Technology,intel.com,"Intel Canada - English - Intel plant und baut die wesentlichen Technologien, die als Grundlage für die weltweit EDV-Geräte dienen"
64,Technology,phonearena.com,"Phone Arena - Phone News, Reviews and Specs - Phone Arena is the premium website for new phone information such as full specifications, in-depth reviews, latest news, carrier available and upcoming phones. It features dedicated phone discussions, advanced phone filter, visual size comparison and 36"
65,Technology,logitech.com,Logitech - Get Immersed in the Digital World!
66,Technology,popularmechanics.com,"Popular Mechanics - Automotive Care, Home Improvement, Tools, DIY Tips - Popular Mechanics is a service magazine covering a variety of information on home improvement, automotive needs, electronics, computers, telecommunications, outdoors, fitness and science and technology. Popular Mechanics also "
67,Technology,mobile9.com,"Free Nokia Themes, Free Ringtones, Free Apps - mobile9 - mobile9 is an app store and more. Truly open, truly social. Millions of members are sharing the fun and billions of free downloads served."
68,Technology,androidpolice.com,"Android Police - Android News, Apps, Games, Phones, Tablets"
69,Technology,itworld.com,"IT news, technology analysis and how-to resources | ITworld - IT news and breaking technology stories covering IT security, cloud computing, virtualization, and more."
70,Technology,ghacks.net,"GHacks Technology News | Latest Tech News, Software And Tutorials Page 1"
71,Technology,extremetech.com,Latest Technology News | Tech Blog | ExtremeTech - Latest Technology News | Tech Blog | ExtremeTech
72,Technology,imore.com,"IMore.com | The #1 Site for iPhone, iPad, iPod touch and Apple TV owners"
73,Technology,ilounge.com,"All things iPod, iPhone, iPad and Beyond | iLounge - All Things iPod, iPhone, iPad and Beyond."
74,Technology,notebookreview.com,"Laptop Reviews - Notebook Reviews and Computer News - NotebookReview.com offers the latest notebook and laptop reviews, as well as price comparisons, support forums and news."
75,Technology,phandroid.com,"Android Phone - #1 Site for Android Phone Reviews, News, Apps, Games and Rumors. Also covers Android Tablets and other Android devices!"
76,Technology,cio.com,"CIO.com - CIO.com delivers the latest tech news, analysis, how-to, blogs, and video for IT professionals. Covers apps, careers, cloud computing, data center, mobile, outsourcing, security, social media, hardware and software."
77,Technology,asus.com,"ASUS   - ASUS is a leading company driven by innovation and commitment to quality for products that include notebooks, netbooks, motherboards, graphics cards, displays, desktop PCs, servers, wireless solutions, mobile phones and networking devices. ASUS ranks among BusinessWeek’s InfoTech 100 for"
78,Technology,osxdaily.com,"News, Tips, and Reviews for Mac, iPhone, and iPad - OS X Daily  -   News, tips, software, reviews, and more for Mac OS X, iPhone, iPad   "
