d_case_folding,d_digits_removal,d_breaking_hyphens,d_punctuation_mark_removal,d_tokenizing,d_stemming,d_stopword_removal,,label
indexmundi is a data portal that gathers facts and statistics from multiple sources and turns them into easy to use visuals.,indexmundi is a data portal that gathers facts and statistics from multiple sources and turns them into easy to use visuals.,indexmundi is a data portal that gathers facts and statistics from multiple sources and turns them into easy to use visuals.,indexmundi is a data portal that gathers facts and statistics from multiple sources and turns them into easy to use visuals,"['indexmundi', 'is', 'a', 'data', 'portal', 'that', 'gathers', 'facts', 'and', 'statistics', 'from', 'multiple', 'sources', 'and', 'turns', 'them', 'into', 'easy', 'to', 'use', 'visuals']","['indexmundi', 'be', 'a', 'data', 'portal', 'that', 'gather', 'fact', 'and', 'statistic', 'from', 'multiple', 'source', 'and', 'turn', 'them', 'into', 'easy', 'to', 'use', 'visuals']","['indexmundi', 'data', 'portal', 'gather', 'fact', 'statistic', 'multiple', 'source', 'turn', 'easy', 'use', 'visuals']",,aman
university of phoenix offers online degrees & courses aligned to 300+ occupations. explore tuition-saving opportunities at our accredited online college!,university of phoenix offers online degrees & courses aligned to + occupations. explore tuition-saving opportunities at our accredited online college!,university of phoenix offers online degrees & courses aligned to + occupations. explore tuition saving opportunities at our accredited online college!,university of phoenix offers online degrees courses aligned to occupations explore tuition saving opportunities at our accredited online college,"['university', 'of', 'phoenix', 'offers', 'online', 'degrees', 'courses', 'aligned', 'to', 'occupations', 'explore', 'tuition', 'saving', 'opportunities', 'at', 'our', 'accredited', 'online', 'college']","['university', 'of', 'phoenix', 'offer', 'online', 'degree', 'course', 'align', 'to', 'occupation', 'explore', 'tuition', 'save', 'opportunity', 'at', 'our', 'accredit', 'online', 'college']","['university', 'phoenix', 'offer', 'online', 'degree', 'course', 'align', 'occupation', 'explore', 'tuition', 'save', 'opportunity', 'accredit', 'online', 'college']",,aman
"harvard university is devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","harvard university is devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.","harvard university is devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.",harvard university is devoted to excellence in teaching learning and research and to developing leaders who make a difference globally,"['harvard', 'university', 'is', 'devoted', 'to', 'excellence', 'in', 'teaching', 'learning', 'and', 'research', 'and', 'to', 'developing', 'leaders', 'who', 'make', 'a', 'difference', 'globally']","['harvard', 'university', 'be', 'devote', 'to', 'excellence', 'in', 'teach', 'learn', 'and', 'research', 'and', 'to', 'develop', 'leader', 'who', 'make', 'a', 'difference', 'globally']","['harvard', 'university', 'devote', 'excellence', 'teach', 'learn', 'research', 'develop', 'leader', 'make', 'difference', 'globally']",,aman
"explore the fact-checked online encyclopedia from encyclopaedia britannica with hundreds of thousands of objective articles, biographies, videos, and images from experts.","explore the fact-checked online encyclopedia from encyclopaedia britannica with hundreds of thousands of objective articles, biographies, videos, and images from experts.","explore the fact checked online encyclopedia from encyclopaedia britannica with hundreds of thousands of objective articles, biographies, videos, and images from experts.",explore the fact checked online encyclopedia from encyclopaedia britannica with hundreds of thousands of objective articles biographies videos and images from experts,"['explore', 'the', 'fact', 'checked', 'online', 'encyclopedia', 'from', 'encyclopaedia', 'britannica', 'with', 'hundreds', 'of', 'thousands', 'of', 'objective', 'articles', 'biographies', 'videos', 'and', 'images', 'from', 'experts']","['explore', 'the', 'fact', 'checked', 'online', 'encyclopedia', 'from', 'encyclopaedia', 'britannica', 'with', 'hundred', 'of', 'thousand', 'of', 'objective', 'article', 'biography', 'video', 'and', 'image', 'from', 'expert']","['explore', 'fact', 'checked', 'online', 'encyclopedia', 'encyclopaedia', 'britannica', 'hundred', 'thousand', 'objective', 'article', 'biography', 'video', 'image', 'expert']",,aman
"mathworks develops, sells, and supports matlab and simulink products.","mathworks develops, sells, and supports matlab and simulink products.","mathworks develops, sells, and supports matlab and simulink products.",mathworks develops sells and supports matlab and simulink products,"['mathworks', 'develops', 'sells', 'and', 'supports', 'matlab', 'and', 'simulink', 'products']","['mathworks', 'develops', 'sell', 'and', 'support', 'matlab', 'and', 'simulink', 'product']","['mathworks', 'develops', 'sell', 'support', 'matlab', 'simulink', 'product']",,aman
"blackboard is a leading global educational technology solution for higher ed, k-12, business, and government, connecting education to the power of technology.","blackboard is a leading global educational technology solution for higher ed, k-, business, and government, connecting education to the power of technology.","blackboard is a leading global educational technology solution for higher ed, k , business, and government, connecting education to the power of technology.",blackboard is a leading global educational technology solution for higher ed k business and government connecting education to the power of technology,"['blackboard', 'is', 'a', 'leading', 'global', 'educational', 'technology', 'solution', 'for', 'higher', 'ed', 'k', 'business', 'and', 'government', 'connecting', 'education', 'to', 'the', 'power', 'of', 'technology']","['blackboard', 'be', 'a', 'lead', 'global', 'educational', 'technology', 'solution', 'for', 'high', 'ed', 'k', 'business', 'and', 'government', 'connect', 'education', 'to', 'the', 'power', 'of', 'technology']","['blackboard', 'lead', 'global', 'educational', 'technology', 'solution', 'high', 'ed', 'k', 'business', 'government', 'connect', 'education', 'power', 'technology']",,aman
"check out a variety of auto parts, supplies, and accessories for cars, trucks, and suvs, as well as boats, trailers, atvs, and lawn and garden equipment. find an o'reilly auto parts store near you, learn about store services, and view our current ad, coupons, and promotions. get free shipping on orders $35.00+ and free in-store pickup for online orders.","check out a variety of auto parts, supplies, and accessories for cars, trucks, and suvs, as well as boats, trailers, atvs, and lawn and garden equipment. find an o'reilly auto parts store near you, learn about store services, and view our current ad, coupons, and promotions. get free shipping on orders $.+ and free in-store pickup for online orders.","check out a variety of auto parts, supplies, and accessories for cars, trucks, and suvs, as well as boats, trailers, atvs, and lawn and garden equipment. find an o'reilly auto parts store near you, learn about store services, and view our current ad, coupons, and promotions. get free shipping on orders $.+ and free in store pickup for online orders.",check out a variety of auto parts supplies and accessories for cars trucks and suvs as well as boats trailers atvs and lawn and garden equipment find an o'reilly auto parts store near you learn about store services and view our current ad coupons and promotions get free shipping on orders and free in store pickup for online orders,"['check', 'out', 'a', 'variety', 'of', 'auto', 'parts', 'supplies', 'and', 'accessories', 'for', 'cars', 'trucks', 'and', 'suvs', 'as', 'well', 'as', 'boats', 'trailers', 'atvs', 'and', 'lawn', 'and', 'garden', 'equipment', 'find', 'an', ""o'reilly"", 'auto', 'parts', 'store', 'near', 'you', 'learn', 'about', 'store', 'services', 'and', 'view', 'our', 'current', 'ad', 'coupons', 'and', 'promotions', 'get', 'free', 'shipping', 'on', 'orders', 'and', 'free', 'in', 'store', 'pickup', 'for', 'online', 'orders']","['check', 'out', 'a', 'variety', 'of', 'auto', 'part', 'supply', 'and', 'accessory', 'for', 'car', 'truck', 'and', 'suv', 'a', 'well', 'a', 'boat', 'trailer', 'atvs', 'and', 'lawn', 'and', 'garden', 'equipment', 'find', 'an', 'o reilly', 'auto', 'part', 'store', 'near', 'you', 'learn', 'about', 'store', 'service', 'and', 'view', 'our', 'current', 'ad', 'coupon', 'and', 'promotion', 'get', 'free', 'shipping', 'on', 'order', 'and', 'free', 'in', 'store', 'pickup', 'for', 'online', 'order']","['check', 'variety', 'auto', 'part', 'supply', 'accessory', 'car', 'truck', 'suv', 'well', 'boat', 'trailer', 'atvs', 'lawn', 'garden', 'equipment', 'find', 'o reilly', 'auto', 'part', 'store', 'near', 'learn', 'store', 'service', 'view', 'current', 'ad', 'coupon', 'promotion', 'get', 'free', 'shipping', 'order', 'free', 'store', 'pickup', 'online', 'order']",,aman
"car news, reviews, opinion and features from autocar - the world's oldest car publication bringing you everything automotive since 1895","car news, reviews, opinion and features from autocar - the world's oldest car publication bringing you everything automotive since ","car news, reviews, opinion and features from autocar   the world's oldest car publication bringing you everything automotive since ",car news reviews opinion and features from autocar the world's oldest car publication bringing you everything automotive since,"['car', 'news', 'reviews', 'opinion', 'and', 'features', 'from', 'autocar', 'the', 'world', ""'s"", 'oldest', 'car', 'publication', 'bringing', 'you', 'everything', 'automotive', 'since']","['car', 'news', 'review', 'opinion', 'and', 'feature', 'from', 'autocar', 'the', 'world', 's', 'old', 'car', 'publication', 'bring', 'you', 'everything', 'automotive', 'since']","['car', 'news', 'review', 'opinion', 'feature', 'autocar', 'world', 'old', 'car', 'publication', 'bring', 'everything', 'automotive', 'since']",,aman
the latest car news as well as a look at the automotive past with the best car pictures and wallpapers.,the latest car news as well as a look at the automotive past with the best car pictures and wallpapers.,the latest car news as well as a look at the automotive past with the best car pictures and wallpapers.,the latest car news as well as a look at the automotive past with the best car pictures and wallpapers,"['the', 'latest', 'car', 'news', 'as', 'well', 'as', 'a', 'look', 'at', 'the', 'automotive', 'past', 'with', 'the', 'best', 'car', 'pictures', 'and', 'wallpapers']","['the', 'late', 'car', 'news', 'a', 'well', 'a', 'a', 'look', 'at', 'the', 'automotive', 'past', 'with', 'the', 'best', 'car', 'picture', 'and', 'wallpaper']","['late', 'car', 'news', 'well', 'look', 'automotive', 'past', 'best', 'car', 'picture', 'wallpaper']",,aman
"for apple news, rumors, reviews, prices, and deals, trust appleinsider. serving apple product enthusiasts since 1997.","for apple news, rumors, reviews, prices, and deals, trust appleinsider. serving apple product enthusiasts since .","for apple news, rumors, reviews, prices, and deals, trust appleinsider. serving apple product enthusiasts since .",for apple news rumors reviews prices and deals trust appleinsider serving apple product enthusiasts since,"['for', 'apple', 'news', 'rumors', 'reviews', 'prices', 'and', 'deals', 'trust', 'appleinsider', 'serving', 'apple', 'product', 'enthusiasts', 'since']","['for', 'apple', 'news', 'rumor', 'review', 'price', 'and', 'deal', 'trust', 'appleinsider', 'serve', 'apple', 'product', 'enthusiast', 'since']","['apple', 'news', 'rumor', 'review', 'price', 'deal', 'trust', 'appleinsider', 'serve', 'apple', 'product', 'enthusiast', 'since']",,aman
"with more than 42,000+ students attending annually, waterloo is #1 in canada for experiential learning and employer-student connections.","with more than ,+ students attending annually, waterloo is # in canada for experiential learning and employer-student connections.","with more than ,+ students attending annually, waterloo is # in canada for experiential learning and employer student connections.",with more than students attending annually waterloo is in canada for experiential learning and employer student connections,"['with', 'more', 'than', 'students', 'attending', 'annually', 'waterloo', 'is', 'in', 'canada', 'for', 'experiential', 'learning', 'and', 'employer', 'student', 'connections']","['with', 'more', 'than', 'student', 'attend', 'annually', 'waterloo', 'be', 'in', 'canada', 'for', 'experiential', 'learn', 'and', 'employer', 'student', 'connection']","['student', 'attend', 'annually', 'waterloo', 'canada', 'experiential', 'learn', 'employer', 'student', 'connection']",,aman
"we're back online with a huge range of smart home, security, gaming, av, computing, stem & more. ✓ free home delivery","we're back online with a huge range of smart home, security, gaming, av, computing, stem & more. ✓ free home delivery","we're back online with a huge range of smart home, security, gaming, av, computing, stem & more. ✓ free home delivery",we're back online with a huge range of smart home security gaming av computing stem more ✓ free home delivery,"['we', ""'re"", 'back', 'online', 'with', 'a', 'huge', 'range', 'of', 'smart', 'home', 'security', 'gaming', 'av', 'computing', 'stem', 'more', '✓', 'free', 'home', 'delivery']","['we', 're', 'back', 'online', 'with', 'a', 'huge', 'range', 'of', 'smart', 'home', 'security', 'game', 'av', 'compute', 'stem', 'more', '', 'free', 'home', 'delivery']","['back', 'online', 'huge', 'range', 'smart', 'home', 'security', 'game', 'av', 'compute', 'stem', '', 'free', 'home', 'delivery']",,aman
"we unlock the potential of millions of people. our qualiﬁcations, assessments, academic publications and original research spread knowledge and spark enquiry.","we unlock the potential of millions of people. our qualiﬁcations, assessments, academic publications and original research spread knowledge and spark enquiry.","we unlock the potential of millions of people. our qualiﬁcations, assessments, academic publications and original research spread knowledge and spark enquiry.",we unlock the potential of millions of people our qualiﬁcations assessments academic publications and original research spread knowledge and spark enquiry,"['we', 'unlock', 'the', 'potential', 'of', 'millions', 'of', 'people', 'our', 'qualiﬁcations', 'assessments', 'academic', 'publications', 'and', 'original', 'research', 'spread', 'knowledge', 'and', 'spark', 'enquiry']","['we', 'unlock', 'the', 'potential', 'of', 'million', 'of', 'people', 'our', 'quali cations', 'assessment', 'academic', 'publication', 'and', 'original', 'research', 'spread', 'knowledge', 'and', 'spark', 'enquiry']","['unlock', 'potential', 'million', 'people', 'quali cations', 'assessment', 'academic', 'publication', 'original', 'research', 'spread', 'knowledge', 'spark', 'enquiry']",,aman
improve knowedge of vocabulary words with spelling practice from vocabularyspellingcity. our engaging phonics games for kids help students become spelling masters.,improve knowedge of vocabulary words with spelling practice from vocabularyspellingcity. our engaging phonics games for kids help students become spelling masters.,improve knowedge of vocabulary words with spelling practice from vocabularyspellingcity. our engaging phonics games for kids help students become spelling masters.,improve knowedge of vocabulary words with spelling practice from vocabularyspellingcity our engaging phonics games for kids help students become spelling masters,"['improve', 'knowedge', 'of', 'vocabulary', 'words', 'with', 'spelling', 'practice', 'from', 'vocabularyspellingcity', 'our', 'engaging', 'phonics', 'games', 'for', 'kids', 'help', 'students', 'become', 'spelling', 'masters']","['improve', 'knowedge', 'of', 'vocabulary', 'word', 'with', 'spell', 'practice', 'from', 'vocabularyspellingcity', 'our', 'engage', 'phonics', 'game', 'for', 'kid', 'help', 'student', 'become', 'spell', 'master']","['improve', 'knowedge', 'vocabulary', 'word', 'spell', 'practice', 'vocabularyspellingcity', 'engage', 'phonics', 'game', 'kid', 'help', 'student', 'become', 'spell', 'master']",,aman
"live science features groundbreaking developments in science, space, technology, health, the environment, our culture and history.","live science features groundbreaking developments in science, space, technology, health, the environment, our culture and history.","live science features groundbreaking developments in science, space, technology, health, the environment, our culture and history.",live science features groundbreaking developments in science space technology health the environment our culture and history,"['live', 'science', 'features', 'groundbreaking', 'developments', 'in', 'science', 'space', 'technology', 'health', 'the', 'environment', 'our', 'culture', 'and', 'history']","['live', 'science', 'feature', 'groundbreaking', 'development', 'in', 'science', 'space', 'technology', 'health', 'the', 'environment', 'our', 'culture', 'and', 'history']","['live', 'science', 'feature', 'groundbreaking', 'development', 'science', 'space', 'technology', 'health', 'environment', 'culture', 'history']",,aman
"shop online for the newest nissan cars, trucks, crossovers, suvs and electric vehicles. explore offers, compare models, calculate payments and more.","shop online for the newest nissan cars, trucks, crossovers, suvs and electric vehicles. explore offers, compare models, calculate payments and more.","shop online for the newest nissan cars, trucks, crossovers, suvs and electric vehicles. explore offers, compare models, calculate payments and more.",shop online for the newest nissan cars trucks crossovers suvs and electric vehicles explore offers compare models calculate payments and more,"['shop', 'online', 'for', 'the', 'newest', 'nissan', 'cars', 'trucks', 'crossovers', 'suvs', 'and', 'electric', 'vehicles', 'explore', 'offers', 'compare', 'models', 'calculate', 'payments', 'and', 'more']","['shop', 'online', 'for', 'the', 'new', 'nissan', 'car', 'truck', 'crossover', 'suv', 'and', 'electric', 'vehicle', 'explore', 'offer', 'compare', 'model', 'calculate', 'payment', 'and', 'more']","['shop', 'online', 'new', 'nissan', 'car', 'truck', 'crossover', 'suv', 'electric', 'vehicle', 'explore', 'offer', 'compare', 'model', 'calculate', 'payment']",,aman
"acs is one of the world’s largest scientific societies and the premier home of chemistry professionals. find career opportunities, educational resources and more.","acs is one of the world’s largest scientific societies and the premier home of chemistry professionals. find career opportunities, educational resources and more.","acs is one of the world’s largest scientific societies and the premier home of chemistry professionals. find career opportunities, educational resources and more.",acs is one of the world’s largest scientific societies and the premier home of chemistry professionals find career opportunities educational resources and more,"['acs', 'is', 'one', 'of', 'the', 'world', '’', 's', 'largest', 'scientific', 'societies', 'and', 'the', 'premier', 'home', 'of', 'chemistry', 'professionals', 'find', 'career', 'opportunities', 'educational', 'resources', 'and', 'more']","['ac', 'be', 'one', 'of', 'the', 'world', '', 's', 'large', 'scientific', 'society', 'and', 'the', 'premier', 'home', 'of', 'chemistry', 'professional', 'find', 'career', 'opportunity', 'educational', 'resource', 'and', 'more']","['ac', 'one', 'world', '', 'large', 'scientific', 'society', 'premier', 'home', 'chemistry', 'professional', 'find', 'career', 'opportunity', 'educational', 'resource']",,aman
"official site of san francisco state university, a public urban university with a conscience located in one of the world's most vibrant and beautiful cities. begin your college search here for world-class undergraduate study, graduate study, scholarly research and community service learning.","official site of san francisco state university, a public urban university with a conscience located in one of the world's most vibrant and beautiful cities. begin your college search here for world-class undergraduate study, graduate study, scholarly research and community service learning.","official site of san francisco state university, a public urban university with a conscience located in one of the world's most vibrant and beautiful cities. begin your college search here for world class undergraduate study, graduate study, scholarly research and community service learning.",official site of san francisco state university a public urban university with a conscience located in one of the world's most vibrant and beautiful cities begin your college search here for world class undergraduate study graduate study scholarly research and community service learning,"['official', 'site', 'of', 'san', 'francisco', 'state', 'university', 'a', 'public', 'urban', 'university', 'with', 'a', 'conscience', 'located', 'in', 'one', 'of', 'the', 'world', ""'s"", 'most', 'vibrant', 'and', 'beautiful', 'cities', 'begin', 'your', 'college', 'search', 'here', 'for', 'world', 'class', 'undergraduate', 'study', 'graduate', 'study', 'scholarly', 'research', 'and', 'community', 'service', 'learning']","['official', 'site', 'of', 'san', 'francisco', 'state', 'university', 'a', 'public', 'urban', 'university', 'with', 'a', 'conscience', 'locate', 'in', 'one', 'of', 'the', 'world', 's', 'most', 'vibrant', 'and', 'beautiful', 'city', 'begin', 'your', 'college', 'search', 'here', 'for', 'world', 'class', 'undergraduate', 'study', 'graduate', 'study', 'scholarly', 'research', 'and', 'community', 'service', 'learn']","['official', 'site', 'san', 'francisco', 'state', 'university', 'public', 'urban', 'university', 'conscience', 'locate', 'one', 'world', 'vibrant', 'beautiful', 'city', 'begin', 'college', 'search', 'world', 'class', 'undergraduate', 'study', 'graduate', 'study', 'scholarly', 'research', 'community', 'service', 'learn']",,aman
latest iphone/ipad app news and reviews,latest iphone/ipad app news and reviews,latest iphone/ipad app news and reviews,latest iphone/ipad app news and reviews,"['latest', 'iphone/ipad', 'app', 'news', 'and', 'reviews']","['late', 'iphone ipad', 'app', 'news', 'and', 'review']","['late', 'iphone ipad', 'app', 'news', 'review']",,aman
"the world's most advanced graphics cards, gaming solutions, and gaming technology - from nvidia geforce.","the world's most advanced graphics cards, gaming solutions, and gaming technology - from nvidia geforce.","the world's most advanced graphics cards, gaming solutions, and gaming technology   from nvidia geforce.",the world's most advanced graphics cards gaming solutions and gaming technology from nvidia geforce,"['the', 'world', ""'s"", 'most', 'advanced', 'graphics', 'cards', 'gaming', 'solutions', 'and', 'gaming', 'technology', 'from', 'nvidia', 'geforce']","['the', 'world', 's', 'most', 'advanced', 'graphic', 'card', 'game', 'solution', 'and', 'game', 'technology', 'from', 'nvidia', 'geforce']","['world', 'advanced', 'graphic', 'card', 'game', 'solution', 'game', 'technology', 'nvidia', 'geforce']",,aman
uc santa barbara is a leading center for teaching and research located on the california coast - truly a learning and living environment like no other!,uc santa barbara is a leading center for teaching and research located on the california coast - truly a learning and living environment like no other!,uc santa barbara is a leading center for teaching and research located on the california coast   truly a learning and living environment like no other!,uc santa barbara is a leading center for teaching and research located on the california coast truly a learning and living environment like no other,"['uc', 'santa', 'barbara', 'is', 'a', 'leading', 'center', 'for', 'teaching', 'and', 'research', 'located', 'on', 'the', 'california', 'coast', 'truly', 'a', 'learning', 'and', 'living', 'environment', 'like', 'no', 'other']","['uc', 'santa', 'barbara', 'be', 'a', 'lead', 'center', 'for', 'teach', 'and', 'research', 'locate', 'on', 'the', 'california', 'coast', 'truly', 'a', 'learn', 'and', 'living', 'environment', 'like', 'no', 'other']","['uc', 'santa', 'barbara', 'lead', 'center', 'teach', 'research', 'locate', 'california', 'coast', 'truly', 'learn', 'living', 'environment', 'like']",,aman
"get the inside scoop on new cars: car reviews, car photos, test drive results, technical specs and more. comprehensive car reviews from auto experts. get expert opinions from new car test drives. find cool cars and get inside exclusives on hot concept cars, spy shots with auto show blogging coverage and daily automotive industry news.","get the inside scoop on new cars: car reviews, car photos, test drive results, technical specs and more. comprehensive car reviews from auto experts. get expert opinions from new car test drives. find cool cars and get inside exclusives on hot concept cars, spy shots with auto show blogging coverage and daily automotive industry news.","get the inside scoop on new cars: car reviews, car photos, test drive results, technical specs and more. comprehensive car reviews from auto experts. get expert opinions from new car test drives. find cool cars and get inside exclusives on hot concept cars, spy shots with auto show blogging coverage and daily automotive industry news.",get the inside scoop on new cars car reviews car photos test drive results technical specs and more comprehensive car reviews from auto experts get expert opinions from new car test drives find cool cars and get inside exclusives on hot concept cars spy shots with auto show blogging coverage and daily automotive industry news,"['get', 'the', 'inside', 'scoop', 'on', 'new', 'cars', 'car', 'reviews', 'car', 'photos', 'test', 'drive', 'results', 'technical', 'specs', 'and', 'more', 'comprehensive', 'car', 'reviews', 'from', 'auto', 'experts', 'get', 'expert', 'opinions', 'from', 'new', 'car', 'test', 'drives', 'find', 'cool', 'cars', 'and', 'get', 'inside', 'exclusives', 'on', 'hot', 'concept', 'cars', 'spy', 'shots', 'with', 'auto', 'show', 'blogging', 'coverage', 'and', 'daily', 'automotive', 'industry', 'news']","['get', 'the', 'inside', 'scoop', 'on', 'new', 'car', 'car', 'review', 'car', 'photo', 'test', 'drive', 'result', 'technical', 'spec', 'and', 'more', 'comprehensive', 'car', 'review', 'from', 'auto', 'expert', 'get', 'expert', 'opinion', 'from', 'new', 'car', 'test', 'drive', 'find', 'cool', 'car', 'and', 'get', 'inside', 'exclusive', 'on', 'hot', 'concept', 'car', 'spy', 'shot', 'with', 'auto', 'show', 'blogging', 'coverage', 'and', 'daily', 'automotive', 'industry', 'news']","['get', 'inside', 'scoop', 'new', 'car', 'car', 'review', 'car', 'photo', 'test', 'drive', 'result', 'technical', 'spec', 'comprehensive', 'car', 'review', 'auto', 'expert', 'get', 'expert', 'opinion', 'new', 'car', 'test', 'drive', 'find', 'cool', 'car', 'get', 'inside', 'exclusive', 'hot', 'concept', 'car', 'spy', 'shot', 'auto', 'show', 'blogging', 'coverage', 'daily', 'automotive', 'industry', 'news']",,aman
"top tech blog publishing blogging tips, smart tech and web tutorials since 2004","top tech blog publishing blogging tips, smart tech and web tutorials since ","top tech blog publishing blogging tips, smart tech and web tutorials since ",top tech blog publishing blogging tips smart tech and web tutorials since,"['top', 'tech', 'blog', 'publishing', 'blogging', 'tips', 'smart', 'tech', 'and', 'web', 'tutorials', 'since']","['top', 'tech', 'blog', 'publishing', 'blogging', 'tip', 'smart', 'tech', 'and', 'web', 'tutorial', 'since']","['top', 'tech', 'blog', 'publishing', 'blogging', 'tip', 'smart', 'tech', 'web', 'tutorial', 'since']",,aman
explore an innovative line of quality products from american honda motor company. find the latest news and information on honda and acura brand products.,explore an innovative line of quality products from american honda motor company. find the latest news and information on honda and acura brand products.,explore an innovative line of quality products from american honda motor company. find the latest news and information on honda and acura brand products.,explore an innovative line of quality products from american honda motor company find the latest news and information on honda and acura brand products,"['explore', 'an', 'innovative', 'line', 'of', 'quality', 'products', 'from', 'american', 'honda', 'motor', 'company', 'find', 'the', 'latest', 'news', 'and', 'information', 'on', 'honda', 'and', 'acura', 'brand', 'products']","['explore', 'an', 'innovative', 'line', 'of', 'quality', 'product', 'from', 'american', 'honda', 'motor', 'company', 'find', 'the', 'late', 'news', 'and', 'information', 'on', 'honda', 'and', 'acura', 'brand', 'product']","['explore', 'innovative', 'line', 'quality', 'product', 'american', 'honda', 'motor', 'company', 'find', 'late', 'news', 'information', 'honda', 'acura', 'brand', 'product']",,aman
"situs resmi harley-davidson motor company. lihat motor harley terbaru, cari dealer, & telusuri komponen dan perlengkapan motor.","situs resmi harley-davidson motor company. lihat motor harley terbaru, cari dealer, & telusuri komponen dan perlengkapan motor.","situs resmi harley davidson motor company. lihat motor harley terbaru, cari dealer, & telusuri komponen dan perlengkapan motor.",situs resmi harley davidson motor company lihat motor harley terbaru cari dealer telusuri komponen dan perlengkapan motor,"['situs', 'resmi', 'harley', 'davidson', 'motor', 'company', 'lihat', 'motor', 'harley', 'terbaru', 'cari', 'dealer', 'telusuri', 'komponen', 'dan', 'perlengkapan', 'motor']","['situs', 'resmi', 'harley', 'davidson', 'motor', 'company', 'lihat', 'motor', 'harley', 'baru', 'cari', 'dealer', 'telusur', 'komponen', 'dan', 'lengkap', 'motor']","['situs', 'resmi', 'harley', 'davidson', 'motor', 'company', 'lihat', 'motor', 'harley', 'cari', 'dealer', 'telusur', 'komponen', 'lengkap', 'motor']",,aman
"udemy is an online learning and teaching marketplace with over 185,000 courses and 49 million students. learn programming, marketing, data science and more.","udemy is an online learning and teaching marketplace with over , courses and  million students. learn programming, marketing, data science and more.","udemy is an online learning and teaching marketplace with over , courses and  million students. learn programming, marketing, data science and more.",udemy is an online learning and teaching marketplace with over courses and million students learn programming marketing data science and more,"['udemy', 'is', 'an', 'online', 'learning', 'and', 'teaching', 'marketplace', 'with', 'over', 'courses', 'and', 'million', 'students', 'learn', 'programming', 'marketing', 'data', 'science', 'and', 'more']","['udemy', 'be', 'an', 'online', 'learn', 'and', 'teach', 'marketplace', 'with', 'over', 'course', 'and', 'million', 'student', 'learn', 'program', 'marketing', 'data', 'science', 'and', 'more']","['udemy', 'online', 'learn', 'teach', 'marketplace', 'course', 'million', 'student', 'learn', 'program', 'marketing', 'data', 'science']",,aman
access 130+ million publications and connect with 20+ million researchers. join for free and gain visibility by uploading your research.,access + million publications and connect with + million researchers. join for free and gain visibility by uploading your research.,access + million publications and connect with + million researchers. join for free and gain visibility by uploading your research.,access million publications and connect with million researchers join for free and gain visibility by uploading your research,"['access', 'million', 'publications', 'and', 'connect', 'with', 'million', 'researchers', 'join', 'for', 'free', 'and', 'gain', 'visibility', 'by', 'uploading', 'your', 'research']","['access', 'million', 'publication', 'and', 'connect', 'with', 'million', 'researcher', 'join', 'for', 'free', 'and', 'gain', 'visibility', 'by', 'upload', 'your', 'research']","['access', 'million', 'publication', 'connect', 'million', 'researcher', 'join', 'free', 'gain', 'visibility', 'upload', 'research']",,aman
"share our collection of inspirational and famous quotes by authors you know and love. share our quotes of the day on the web, facebook, twitter, and blogs.","share our collection of inspirational and famous quotes by authors you know and love. share our quotes of the day on the web, facebook, twitter, and blogs.","share our collection of inspirational and famous quotes by authors you know and love. share our quotes of the day on the web, facebook, twitter, and blogs.",share our collection of inspirational and famous quotes by authors you know and love share our quotes of the day on the web facebook twitter and blogs,"['share', 'our', 'collection', 'of', 'inspirational', 'and', 'famous', 'quotes', 'by', 'authors', 'you', 'know', 'and', 'love', 'share', 'our', 'quotes', 'of', 'the', 'day', 'on', 'the', 'web', 'facebook', 'twitter', 'and', 'blogs']","['share', 'our', 'collection', 'of', 'inspirational', 'and', 'famous', 'quote', 'by', 'author', 'you', 'know', 'and', 'love', 'share', 'our', 'quote', 'of', 'the', 'day', 'on', 'the', 'web', 'facebook', 'twitter', 'and', 'blog']","['share', 'collection', 'inspirational', 'famous', 'quote', 'author', 'know', 'love', 'share', 'quote', 'day', 'web', 'facebook', 'twitter', 'blog']",,aman
